	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745	750
520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9831	10441	11442	11914	12308	12541	11970	12174	12137	11412	11213	11046	10333	9497	9433	8345	7606	6650	6571	5952	5581	4865	4102	3365	2746	2654	2345	1955	1663	1533	1402	1288	1002	934	714	692	630	514	532	470	386	412	358	328	344
510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11211	12129	13290	14680	15430	16564	16560	16097	16620	16357	15344	15064	14309	14088	12608	12222	11078	10568	9674	9321	7990	7143	6078	4981	4314	4034	3555	3012	2972	2309	2191	1943	1531	1444	1200	1124	866	804	798	698	560	566	448	454	446	466	388
500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13692	15334	17301	18633	20581	21824	22210	22388	22410	22176	22271	20648	19809	19149	17878	17033	16067	15998	14893	13621	11615	9931	8612	7761	7101	6258	5495	4601	4216	3621	3208	2776	2369	2143	1955	1657	1298	1218	988	772	776	746	642	624	608	552	478	470	472
490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18855	20289	22051	25072	26599	28942	30374	30108	31075	30896	30376	29513	28622	27734	25786	24187	24044	22319	21312	18946	16310	14927	13263	12083	10887	9140	8182	7243	6547	5785	4979	4258	3817	3234	2890	2405	2031	1835	1523	1346	1258	1042	1044	894	848	644	690	556	522	562	446
480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25335	28080	31289	34286	37173	39389	42821	43669	45433	45176	44803	43950	42494	41425	39932	37848	36698	33832	30386	27412	25329	22483	20987	19012	16765	15485	13529	11733	10271	9158	7891	6790	5825	5174	4601	3783	3489	2908	2559	2303	1829	1611	1430	1272	1050	938	992	794	758	598	682	672	500
470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38218	45313	52370	58105	63693	68144	71618	75788	79275	79610	78785	78854	77116	74191	73475	70971	67062	61476	55141	51636	47475	42717	38917	35455	32341	28845	26645	22937	19831	17926	15938	13808	11836	10015	9196	7637	6828	5567	5446	4198	3845	3334	2850	2345	2129	1807	1647	1434	1310	1096	1014	980	810	752	668
460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40363	48646	58140	67391	75652	80121	86608	88384	91715	93222	94584	94135	91386	91185	88876	85978	78577	73560	67780	63157	57306	52245	47948	42880	39684	35157	31634	28501	25048	22406	19823	17078	15131	13106	11416	9453	8510	7532	6118	5581	4591	4068	3501	3004	2752	2299	1967	1709	1495	1348	1158	1026	942	838	798	716	678
450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53983	64983	78434	93554	1.06E+05	1.21E+05	1.29E+05	1.33E+05	1.36E+05	1.37E+05	1.38E+05	1.39E+05	1.36E+05	1.37E+05	1.34E+05	1.25E+05	1.16E+05	1.08E+05	1.02E+05	92949	85182	78279	71593	64973	59216	52552	47793	43153	38149	33885	29736	26283	22731	20093	17843	15579	13396	12075	10152	8439	7394	6367	5505	4585	4130	3417	3258	2531	2207	1855	1771	1605	1264	1008	1038	984	848	838	656
440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89665	1.03E+05	1.19E+05	1.37E+05	1.56E+05	1.73E+05	1.90E+05	2.06E+05	2.11E+05	2.10E+05	2.09E+05	2.06E+05	2.05E+05	2.03E+05	1.94E+05	1.81E+05	1.70E+05	1.60E+05	1.49E+05	1.37E+05	1.26E+05	1.15E+05	1.05E+05	94605	85970	76430	68381	61414	55780	48972	44510	39468	34242	30315	26186	22618	19537	17384	14861	13123	11046	9598	8245	6892	6062	5232	4446	3835	3202	2826	2401	1997	1869	1549	1471	1256	1098	942	816	776	750
