	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500	505	510	515	520	525	530	535	540	545	550	555	560	565	570	575	580	585	590	595	600	605	610	615	620	625	630	635	640	645	650	655	660	665	670	675	680	685	690	695	700	705	710	715	720	725	730	735	740	745	750
520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5202	-3182	-2026	-1607	-1169	-1015	-845	-778	-658	-636	-658	-542	-688	-594	-570	-372	-464	-402	-444	-506	-491	-547	-374	-280	-386	-384	-282	-294	-316	-268	-244	-226	-284	-204	-204	-246	-228	-186	-176	-184	-242	-230	-164	-198	-198
510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6655	-3422	-2473	-1842	-1513	-1195	-1037	-1081	-851	-863	-808	-898	-704	-790	-420	-420	-540	-604	-655	-817	-649	-566	-444	-426	-358	-372	-316	-344	-308	-280	-310	-332	-312	-252	-290	-260	-226	-240	-178	-250	-246	-166	-184	-160	-222	-140	-128
500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-7611	-4223	-3056	-2212	-1802	-1711	-1551	-1617	-1255	-1487	-1097	-1205	-885	-1006	-752	-656	-675	-1013	-1145	-935	-583	-464	-478	-504	-458	-476	-460	-394	-340	-322	-350	-310	-276	-332	-288	-272	-302	-194	-170	-238	-210	-250	-192	-190	-184	-202	-252	-236	-224
490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-9095	-5611	-3996	-3449	-2854	-2857	-2435	-2511	-1898	-2208	-2090	-1721	-1797	-1819	-1507	-1443	-1379	-1404	-1472	-1099	-742	-768	-700	-636	-644	-472	-522	-450	-536	-408	-356	-444	-384	-332	-310	-322	-350	-290	-326	-222	-214	-276	-316	-258	-240	-212	-212	-224	-226	-198	-234
480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10972	-6513	-4826	-4195	-3784	-3890	-4022	-3585	-3515	-3406	-3408	-2861	-2989	-2725	-2505	-2584	-2819	-2279	-1956	-1349	-1215	-1265	-1063	-918	-992	-778	-726	-658	-688	-562	-598	-576	-582	-368	-506	-444	-360	-290	-384	-410	-358	-264	-352	-268	-184	-262	-360	-252	-294	-290	-170	-200	-280
470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15353	-8504	-5908	-4986	-5258	-5070	-5072	-5234	-5466	-5560	-5345	-5151	-4904	-5106	-4767	-4795	-4898	-4056	-3267	-2503	-2466	-2140	-1861	-1685	-1609	-1607	-1423	-1129	-1141	-1056	-1080	-902	-786	-760	-584	-634	-636	-528	-500	-514	-478	-424	-478	-390	-402	-434	-404	-336	-318	-336	-326	-228	-296	-320	-298
460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-16567	-8420	-5603	-4352	-4153	-4009	-4393	-4422	-4899	-5416	-5442	-5177	-5179	-5616	-5793	-5505	-4599	-3622	-3329	-3146	-2855	-2484	-2120	-2058	-1883	-1741	-1567	-1459	-1355	-1165	-1191	-1070	-886	-778	-814	-780	-756	-596	-732	-500	-550	-478	-516	-490	-462	-414	-376	-412	-296	-342	-338	-302	-396	-386	-308	-292	-296
450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-17194	-9754	-6310	-4581	-3944	-3629	-3691	-4086	-4379	-5072	-5165	-5518	-6168	-6174	-7024	-6092	-5110	-4351	-4046	-3834	-3248	-3333	-3094	-2504	-2488	-2098	-1984	-2010	-1631	-1697	-1529	-1425	-1217	-936	-1018	-902	-910	-814	-702	-538	-734	-568	-670	-664	-580	-564	-464	-340	-356	-394	-320	-406	-392	-298	-370	-332	-304	-440	-318
440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-18481	-9821	-6220	-5032	-4452	-3738	-3441	-3293	-3594	-3644	-4217	-5071	-6130	-7849	-6477	-5349	-4889	-4928	-4626	-4038	-4168	-3707	-3447	-3234	-2911	-2507	-2356	-2100	-1709	-1791	-1541	-1515	-1401	-1335	-1231	-1132	-968	-804	-836	-790	-754	-756	-684	-564	-656	-578	-412	-464	-494	-506	-298	-366	-382	-326	-338	-322	-338	-304	-260	-308	-254
